location,Latitude,SunInclination,Altitude
612,50.26801017739583,-4,10
613,48.6575118600532,-4,10
614,49.07204799889681,-4,10
615,51.01328226612999,-4,10
616,49.994568527188356,-4,10
617,48.06005053314111,-4,10
618,53.72595609616595,-4,10
619,49.36402626926206,-4,10
620,52.12956924373223,-4,10
621,50.443898290450846,-4,10
622,54.35389519769336,-4,10
623,52.526217237734535,-4,10
624,50.85911742193424,-4,10
625,53.03149892759781,-4,10
626,53.31688208589331,-4,10
627,54.13879279191115,-4,10
628,53.92165758640089,-4,10
629,49.33558507413981,-4,10
630,51.77324804292571,-4,10
631,52.708062006841516,-4,10
632,54.19496154977272,-4,10
633,49.32939022696604,-4,10
634,50.640991450920886,-4,10
635,54.61751815338602,-4,10
636,52.4145916228482,-4,10
637,52.7641531835885,-4,10
638,53.391772187654446,-4,10
639,53.15886570981059,-4,10
640,49.58170742654861,-4,10
641,50.708322812716354,-4,10
642,48.28450662438573,-4,10
643,53.01072181053645,-4,10
644,54.64261770874353,-4,10
645,53.05571273776764,-4,10
646,47.99358926652057,-4,10
647,54.8168458510589,-4,10
648,50.34256608099572,-4,10
649,52.93689350411453,-4,10
650,49.3587315290953,-4,10
651,47.99349302873671,-4,10
652,50.14521124316527,-4,10
653,53.73108879217968,-4,10
654,51.293119536783635,-4,10
655,50.6690912807135,-4,10
656,48.72715522998649,-4,10
657,53.61367775586095,-4,10
658,53.331097083944854,-4,10
659,54.6218455026507,-4,10
660,51.965016105132015,-4,10
661,49.92871443148342,-4,10
662,53.34336533643666,-4,10
663,50.52965377394831,-4,10
664,49.07952381595598,-4,10
665,48.76644025748214,-4,10
666,52.14002050986991,-4,10
667,51.61229194283249,-4,10
668,52.91357537994823,-4,10
669,49.061076209939806,-4,10
670,51.39703269868912,-4,10
671,48.692957408072594,-4,10
672,54.85055177448761,-4,10
673,48.239796043318016,-4,10
674,53.339744380673174,-4,10
675,49.52555614179131,-4,10
676,50.090241722620945,-4,10
677,50.38235319817445,-4,10
678,54.3901553114484,-4,10
679,50.734722655096824,-4,10
680,48.06124706695048,-4,10
681,51.7149086504191,-4,10
682,53.952376047163206,-4,10
683,50.540541177522144,-4,10
684,53.05146013916075,-4,10
685,48.26668588145836,-4,10
686,51.78991718038085,-4,10
687,53.402063473672634,-4,10
688,50.80750826616058,-4,10
689,50.48448879460345,-4,10
690,51.691096194475215,-4,10
691,47.94326854070417,-4,10
692,50.41323901136873,-4,10
693,53.314990664587825,-4,10
694,50.83178098566747,-4,10
695,54.254507830254234,-4,10
696,54.66640251548699,-4,10
698,53.49086706576075,-4,10
699,48.35489326995784,-4,10
700,53.17167895586779,-4,10
701,53.02904757552931,-4,10
702,52.10372100613162,-4,10
703,49.32013373286439,-4,10
704,54.050317577479404,-4,10
705,51.1882298481107,-4,10
706,51.84151434202752,-4,10
707,52.701047057116256,-4,10
708,49.86578460584225,-4,10
709,54.73780710264151,-4,10
710,50.78273912510841,-4,10
711,48.65585113644386,-4,10
712,49.28932189832384,-4,10
713,49.99485177030364,-4,10
714,49.66366893242292,-4,10
715,49.51602788331707,-4,10
716,52.12853286169893,-4,10
717,52.44141656624179,-4,10
718,51.97611279422045,-4,10
720,53.693899689690184,-4,10
721,51.73632455030924,-4,10
722,52.46480565825765,-4,10
723,52.987573606220025,-4,10
724,49.21214654763452,-4,10
725,51.75938545201456,-4,10
726,52.30894485038337,-4,10
727,50.78573515878862,-4,10
728,47.6695922878463,-4,10
729,53.87102653931291,-4,10
730,52.15840747375259,-4,10
731,52.211176229090334,-4,10
732,48.89334476828123,-4,10
733,48.121768375573566,-4,10
734,49.8156256392779,-4,10
735,54.31215538406935,-4,10
736,53.1226258447,-4,10
737,51.67434494407767,-4,10
738,52.14562298291409,-4,10
739,52.82459308594461,-4,10
740,49.518694973732366,-4,10
741,54.80534860775737,-4,10
742,54.681276598453366,-4,10
743,50.62406869734401,-4,10
744,50.09658571511904,-4,10
745,50.607736428844966,-4,10
746,54.08094073380422,-4,10
747,51.41919293395465,-4,10
748,54.791491269534006,-4,10
749,53.97626995610305,-4,10
750,49.96007902863287,-4,10
751,49.362847388774746,-4,10
752,53.447717411560866,-4,10
753,48.655131935370285,-4,10
