location,Latitude,SunInclination,Altitude
1455,50.22167067934249,-4,10
1456,48.803871107747476,-4,10
1457,49.072806384162824,-4,10
1458,51.57226551878391,-4,10
1459,49.938516311089224,-4,10
1461,54.02257962746198,-4,10
1463,49.252728670653,-4,10
1464,53.46888552534188,-4,10
1465,48.44207873495651,-4,10
1466,52.11552535617208,-4,10
1467,50.51833158185,-4,10
1470,51.00188897257251,-4,10
1471,52.92751790061703,-4,10
1472,53.72923811942336,-4,10
1473,52.57198894546663,-4,10
1474,53.872402177846496,-4,10
1475,49.73566586669712,-4,10
1476,51.06469561352411,-4,10
1477,51.95018324734619,-4,10
1478,53.80567425547867,-4,10
1479,50.696473014927385,-4,10
1480,52.51530083012613,-4,10
1481,52.272568954023235,-4,10
1482,53.30650378853839,-4,10
1483,52.83698419448037,-4,10
1484,49.18901948538573,-4,10
1485,51.796772512873694,-4,10
1486,50.74062951027459,-4,10
1487,53.49320156618858,-4,10
1488,50.94578754220998,-4,10
1489,54.69710625448043,-4,10
1490,49.68082784652497,-4,10
1491,48.30541498923854,-4,10
1492,53.388657498331796,-4,10
1493,53.146486683028066,-4,10
1494,50.03880352303705,-4,10
1495,50.00439483090457,-4,10
1496,49.73297751501999,-4,10
1497,48.0233600395049,-4,10
1498,50.89608738195568,-4,10
1499,54.29160135548644,-4,10
1500,51.602274223915906,-4,10
1501,50.820073688299665,-4,10
1502,48.43329506832516,-4,10
1503,53.09234684380664,-4,10
1504,53.47564770885931,-4,10
1505,53.61440854968008,-4,10
1506,51.918200949502655,-4,10
1507,49.17769982017725,-4,10
1508,52.045006475369064,-4,10
1509,52.3815453280238,-4,10
1510,51.28950153111312,-4,10
1511,50.25245069379504,-4,10
1512,53.508400473542075,-4,10
1513,51.376420497300536,-4,10
1514,48.759070833478134,-4,10
1515,51.932766629122035,-4,10
1516,53.38533327104955,-4,10
1517,49.31081727416191,-4,10
1518,49.478744493673,-4,10
1519,50.94637687955112,-4,10
1520,53.95902248143754,-4,10
1521,53.734562230456426,-4,10
1522,50.970465303724225,-4,10
1523,48.9264989298467,-4,10
1524,53.26930424891888,-4,10
1525,52.82894708970733,-4,10
1526,50.9613266408706,-4,10
1527,51.31549796034633,-4,10
1528,47.803327774928036,-4,10
1529,52.91327068136446,-4,10
1530,54.208889471921076,-4,10
1531,53.494796967039626,-4,10
1532,49.125440432095736,-4,10
1533,53.03845397882884,-4,10
1534,52.09398273459432,-4,10
1535,53.90752078463401,-4,10
1536,51.54923961139718,-4,10
