PointID,NUTS_ID,NUTS_NAME,STATE_NAME,Latitude,Longitude,nearest_grid_id,nearest_latitude,nearest_longitude,distance_deg
64,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.450193,9.822557,C436R64,54.449999999999996,9.82,0.0025642733863608376
65,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.429198,9.943065,C448R66,54.43,9.940000000000001,0.0031681901773720606
66,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.45932,10.073867,C461R63,54.459999999999994,10.07,0.00392633276735315
67,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.44832,10.18562,C474R72,54.37,10.2,0.07962918309263739
68,DEF08,Ostholstein,Schleswig-Holstein,54.431522,11.149924,C556R72,54.37,11.02,0.143753964327947
71,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.409864,12.958093,C748R72,54.37,12.940000000000001,0.04377779282924237
73,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.396936,13.378893,C792R69,54.4,13.379999999999999,0.0032578436119633535
74,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.390791,13.47801,C802R70,54.39,13.48,0.002141443671919353
75,DE80L,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.371529,13.623464,C810R71,54.379999999999995,13.559999999999999,0.0640268470018638
76,DEF07,Nordfriesland,Schleswig-Holstein,54.384386,8.818257,C333R72,54.37,8.79,0.03170828038541431
77,DEF07,Nordfriesland,Schleswig-Holstein,54.373065,8.980082,C352R71,54.379999999999995,8.98,0.006935484770366103
78,DEF05,Dithmarschen,Schleswig-Holstein,54.358906,9.028942,C357R73,54.36,9.030000000000001,0.0015219066988502161
80,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.396643,9.314812,C385R69,54.4,9.31,0.0058672645244612735
81,DEF0C,Schleswig-Flensburg,Schleswig-Holstein,54.37991,9.404547,C394R71,54.379999999999995,9.4,0.004547890609942537
82,DEF0B,Rendsburg-Eckernförde,Schleswig-Holstein,54.361408,9.581214,C412R73,54.36,9.58,0.0018591019337281971
